,game_id,game_title,user_id,play_time
0,9,Euro Truck Simulator 2,300601393,12.0
1,9,Euro Truck Simulator 2,100519466,29.0
2,9,Euro Truck Simulator 2,299670894,3.9
3,9,Euro Truck Simulator 2,242549338,105.0
4,9,Euro Truck Simulator 2,228302915,20.0
5,9,Euro Truck Simulator 2,158173228,6.2
6,9,Euro Truck Simulator 2,166753156,34.0
7,9,Euro Truck Simulator 2,42005897,4.3
8,9,Euro Truck Simulator 2,167017825,8.5
9,9,Euro Truck Simulator 2,229791471,27.0
10,9,Euro Truck Simulator 2,43913966,2.9
11,9,Euro Truck Simulator 2,242815838,73.0
12,9,Euro Truck Simulator 2,251706843,92.0
13,9,Euro Truck Simulator 2,114972372,22.0
14,9,Euro Truck Simulator 2,95137775,22.0
15,9,Euro Truck Simulator 2,189858084,3.1
16,9,Euro Truck Simulator 2,142650116,0.1
17,9,Euro Truck Simulator 2,211544205,14.4
18,9,Euro Truck Simulator 2,45974860,148.0
19,9,Euro Truck Simulator 2,66950079,79.0
20,9,Euro Truck Simulator 2,163140792,36.0
21,9,Euro Truck Simulator 2,127850470,61.0
22,9,Euro Truck Simulator 2,11403772,1.3
23,9,Euro Truck Simulator 2,146427029,58.0
24,9,Euro Truck Simulator 2,9128105,0.8
25,9,Euro Truck Simulator 2,135066372,121.0
26,9,Euro Truck Simulator 2,145825155,43.0
27,9,Euro Truck Simulator 2,168641975,10.0
28,9,Euro Truck Simulator 2,161919513,16.5
29,9,Euro Truck Simulator 2,200913780,108.0
30,9,Euro Truck Simulator 2,111130695,8.8
31,9,Euro Truck Simulator 2,30440303,3.0
32,9,Euro Truck Simulator 2,298950,0.2
33,9,Euro Truck Simulator 2,50801801,6.1
34,9,Euro Truck Simulator 2,122026623,0.3
35,9,Euro Truck Simulator 2,83849502,0.3
36,9,Euro Truck Simulator 2,73835640,15.4
37,9,Euro Truck Simulator 2,224929163,32.0
38,9,Euro Truck Simulator 2,116494569,14.7
39,9,Euro Truck Simulator 2,201283792,5.6
40,9,Euro Truck Simulator 2,6717871,10.7
41,9,Euro Truck Simulator 2,63615483,122.0
42,9,Euro Truck Simulator 2,164805863,0.3
43,9,Euro Truck Simulator 2,33013552,6.2
44,9,Euro Truck Simulator 2,43684632,0.7
45,9,Euro Truck Simulator 2,250054424,2.5
46,9,Euro Truck Simulator 2,242856576,203.0
47,9,Euro Truck Simulator 2,108007732,1.5
48,9,Euro Truck Simulator 2,303274061,2.3
49,9,Euro Truck Simulator 2,64973908,28.0
50,9,Euro Truck Simulator 2,75463760,10.0
51,9,Euro Truck Simulator 2,183998097,39.0
52,9,Euro Truck Simulator 2,180753437,506.0
53,9,Euro Truck Simulator 2,51085779,49.0
54,9,Euro Truck Simulator 2,254928785,10.2
55,9,Euro Truck Simulator 2,120838793,9.6
56,9,Euro Truck Simulator 2,272852624,133.0
57,9,Euro Truck Simulator 2,132014951,3.4
58,9,Euro Truck Simulator 2,124437057,205.0
59,9,Euro Truck Simulator 2,304396588,12.9
60,9,Euro Truck Simulator 2,201757829,21.0
61,9,Euro Truck Simulator 2,8585433,1.3
62,9,Euro Truck Simulator 2,126200826,9.2
63,9,Euro Truck Simulator 2,50600002,23.0
64,9,Euro Truck Simulator 2,34919318,27.0
65,9,Euro Truck Simulator 2,113752996,105.0
66,9,Euro Truck Simulator 2,80363319,3.4
